"LOCH GLENDHU (KYLESKU)",,,,,,,,,,,,
Grid ref,NC230338,Long,-5.018340,Lat,58.257168,,,,,,,
Station no,5804/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.45,5.10,,,,,,,,,,
February,2.70,5.40,,,,,,,,,,
March,3.00,3.60,,,,,,,,,,
April,5.00,1.50,,,,,,,,,,
May,3.05,3.10,,,,,,,,,,
June,1.60,6.42,,,,,,,,,,
July,5.00,3.65,,,,,,,,,,
August,4.20,4.00,,,,,,,,,,
September,2.55,6.00,,,,,,,,,,
October,5.05,6.65,,,,,,,,,,
November,8.10,6.25,,,,,,,,,,
December,8.00,6.00,,,,,,,,,,
Total,52.70,57.67,,,,,,,,,,
Calc annual,52.70,57.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
