"HINDOLVESTON (HOPE HOUSE)",,,,,,,,,,,,
Grid ref,TG042295,Long,1.029311,Lat,52.824329,,,,,,,
Station no,1436,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.52,,2.09,3.07,3.47,5.91,,
February,,,,,3.08,,2.93,4.85,0.17,1.98,,
March,,,,,1.76,,2.41,1.39,0.87,1.27,,
April,,,,,0.98,,0.70,1.32,2.02,0.80,,
May,,,,,3.13,,1.68,2.99,0.74,0.53,,
June,,,,,2.70,,2.38,3.20,1.17,1.26,,
July,,,,,0.37,2.85,4.93,4.49,5.61,4.01,,
August,,,,,1.08,4.44,2.48,2.68,1.72,2.59,,
September,,,,,2.66,1.73,4.69,3.41,0.13,5.13,,
October,,,,,4.03,3.48,1.71,2.47,2.68,4.02,,
November,,,,,1.23,2.11,2.19,1.46,2.70,3.65,,
December,,,,,1.72,1.89,2.68,2.88,4.06,3.66,,
Total,,,,,25.26,,30.87,34.21,25.34,34.81,,
Calc annual,0.00,0.00,0.00,0.00,25.26,16.50,30.87,34.21,25.34,34.81,,
Difference,NaN,NaN,NaN,NaN,0.00,NaN,0.00,0.00,0.00,0.00,,
