"DUNFERMLINE M.W.R.",,,,,,,,,,,,
Grid ref,NT087873,Long,-3.468139,Lat,56.069784,,,,,,,
Station no,5470/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.54,1.75,0.70,2.50,1.56,2.16,,,,,,
February,2.17,0.56,0.62,1.86,1.77,,,,,,,
March,2.68,1.69,0.68,2.27,1.47,,,,,,,
April,2.06,0.93,1.89,1.26,0.60,,,,,,,
May,2.09,1.24,2.08,4.60,2.84,,,,,,,
June,2.38,1.85,2.22,2.24,0.94,,,,,,,
July,5.34,2.45,4.56,2.34,0.93,,,,,,,
August,3.17,4.26,2.09,3.26,0.94,,,,,,,
September,1.78,1.60,3.21,3.78,1.76,,,,,,,
October,0.52,1.75,1.05,7.40,1.86,,,,,,,
November,4.22,2.09,3.76,3.46,1.14,,,,,,,
December,2.71,2.01,3.11,2.96,4.84,,,,,,,
Total,32.66,22.18,25.97,37.93,20.65,,,,,,,
Calc annual,32.66,22.18,25.97,37.93,20.65,2.16,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
