"LAMPERT",,,,,,,,,,,,
Grid ref,NY683745,Long,-2.497869,Lat,55.063955,,,,,,,
Station no,3558/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,6.73,2.79,2.34,4.46,,
February,,,,,,,4.07,4.58,1.90,4.87,,
March,,,,,,,4.44,0.73,1.52,1.04,,
April,,,,,,,0.86,2.06,3.29,2.15,,
May,,,,,,,2.04,4.06,1.09,2.66,,
June,,,,,,,1.96,2.75,4.08,2.04,,
July,,,,,,,5.38,5.21,4.92,5.27,,
August,,,,,,,5.51,4.83,0.93,3.23,,
September,,,,,,2.77,4.20,3.30,1.45,2.47,,
October,,,,,,3.31,4.72,3.66,4.90,4.73,,
November,,,,,,2.07,1.52,,6.65,6.79,,
December,,,,,,5.75,4.14,,5.60,5.19,,
Total,,,,,,,41.13,,38.67,44.90,,
Calc annual,0.00,0.00,0.00,0.00,0.00,13.90,45.57,33.97,38.67,44.90,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-4.44,NaN,0.00,0.00,,
