"MOIDART (GLENMOIDART)",,,,,,,,,,,,
Grid ref,NM745728,Long,-5.694021,Lat,56.791948,,,,,,,
Station no,5718/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.45,6.01,6.72,10.67,5.13,5.75,11.06,10.56,4.35,4.91,,
February,5.32,4.00,6.19,4.93,4.28,5.02,4.40,7.05,3.02,6.37,,
March,4.50,5.06,2.23,4.04,2.39,3.73,7.10,1.45,5.63,2.04,,
April,4.86,4.60,6.80,2.50,7.31,3.40,4.18,4.61,5.95,6.27,,
May,1.71,4.14,4.56,4.62,4.01,5.43,1.84,5.05,1.70,3.27,,
June,3.16,5.38,1.38,6.86,4.85,5.15,7.40,2.34,5.72,5.60,,
July,10.19,7.01,10.83,8.32,2.20,9.44,8.89,2.10,9.11,6.28,,
August,5.95,5.50,10.74,7.76,2.74,5.27,10.10,5.68,5.87,5.87,,
September,6.31,7.08,10.04,13.59,11.19,6.83,5.77,5.58,5.17,3.22,,
October,5.86,9.03,7.49,12.40,11.30,6.47,11.67,11.26,11.27,1.13,,
November,9.77,4.61,14.10,10.56,4.05,10.82,6.29,4.58,9.39,7.91,,
December,13.33,6.89,11.24,13.77,4.06,13.48,10.93,7.14,10.23,9.95,,
Total,82.41,69.31,92.32,100.02,63.51,80.79,89.63,67.40,77.41,62.82,,
Calc annual,82.41,69.31,92.32,100.02,63.51,80.79,89.63,67.40,77.41,62.82,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
