"RAINHAM (MOTNEY HILL)",,,,,,,,,,,,
Grid ref,TQ829684,Long,0.627101,Lat,51.385171,,,,,,,
Station no,370,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.95,1.84,0.71,1.15,2.71,4.48,1.37,2.11,1.94,2.07,,
February,4.98,0.77,1.02,1.55,1.72,0.43,3.13,1.70,0.02,1.67,,
March,2.64,3.92,0.21,2.07,0.98,0.50,0.85,1.13,1.52,1.39,,
April,2.23,0.86,1.96,0.16,0.15,0.91,0.09,0.64,2.01,0.57,,
May,1.98,0.99,1.29,1.83,3.90,0.31,1.42,1.83,0.57,2.57,,
June,0.98,1.59,2.02,3.64,2.21,1.53,1.00,3.63,0.62,1.19,,
July,2.18,0.61,2.67,1.88,1.96,3.75,2.70,1.49,2.43,2.34,,
August,2.94,2.33,1.51,3.16,2.70,2.93,2.00,4.27,1.11,3.94,,
September,3.83,2.53,1.98,1.10,2.49,1.53,2.37,2.85,0.18,3.24,,
October,0.78,1.66,2.32,1.27,4.21,1.04,1.24,2.42,2.32,4.74,,
November,3.84,3.51,1.22,4.66,0.47,0.55,3.02,1.25,3.74,4.24,,
December,1.74,2.15,0.62,1.40,1.36,2.13,1.80,2.56,3.87,2.59,,
Total,30.07,22.76,17.53,23.87,24.86,20.09,20.99,25.88,20.33,30.55,,
Calc annual,30.07,22.76,17.53,23.87,24.86,20.09,20.99,25.88,20.33,30.55,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
