"BLETCHINGLEY (BREWER STREET)",,,,,,,,,,,,
Grid ref,TQ325526,Long,-0.102566,Lat,51.257176,,,,,,,
Station no,117/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.65,3.65,4.58,2.03,2.85,3.15,2.90,,
February,,,,2.55,1.80,0.60,3.95,2.05,0.01,2.05,,
March,,,,2.60,1.55,0.90,1.35,1.85,2.08,1.98,,
April,,,,0.35,0.37,1.83,0.20,1.22,2.15,0.80,,
May,,,,2.65,3.95,0.22,1.40,2.02,0.63,1.50,,
June,,,,4.85,1.80,3.05,1.30,4.23,2.20,1.45,,
July,,,,3.55,0.35,3.92,3.30,1.45,1.85,2.90,,
August,,,,2.95,1.43,2.80,2.45,3.58,0.67,2.75,,
September,,,,2.60,3.00,2.80,2.75,5.55,0.10,3.95,,
October,,,,2.60,4.80,1.36,1.75,3.60,2.75,7.10,,
November,,,,5.65,1.18,1.00,2.65,2.30,3.15,5.20,,
December,,,,2.05,2.95,3.50,2.43,3.33,5.18,3.25,,
Total,,,,34.05,26.83,26.56,25.56,34.03,23.92,35.83,,
Calc annual,0.00,0.00,0.00,34.05,26.83,26.56,25.56,34.03,23.92,35.83,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
