"MARKET HARBOROUGH (GRAMMAR SCHOOL)",,,,,,,,,,,,
Grid ref,SP729879,Long,-0.927925,Lat,52.484160,,,,,,,
Station no,2492/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.97,1.97,0.94,1.07,1.93,3.84,0.86,2.49,3.44,3.86,,
February,4.19,0.69,1.61,2.41,1.95,0.60,2.77,3.40,0.07,1.61,,
March,3.58,2.60,1.09,2.30,2.50,1.34,1.72,1.66,2.25,1.75,,
April,2.89,1.84,1.74,0.29,0.76,1.63,0.30,0.78,2.32,0.55,,
May,2.72,2.68,1.18,1.83,3.42,0.53,1.40,1.98,0.56,0.89,,
June,1.67,0.82,3.85,2.37,2.69,2.84,2.36,4.61,0.75,2.96,,
July,1.03,0.31,2.29,2.05,0.26,2.72,2.32,3.59,1.99,2.77,,
August,3.96,3.87,3.03,4.07,0.59,4.05,3.11,2.43,1.39,3.17,,
September,1.49,2.58,1.55,2.09,1.39,2.20,4.71,2.18,0.04,3.53,,
October,0.69,2.41,2.27,2.61,1.78,1.39,1.00,1.79,1.91,5.49,,
November,5.06,2.38,1.36,4.78,1.03,0.69,1.73,1.50,1.78,3.35,,
December,2.06,2.45,0.80,3.06,2.01,2.00,2.07,2.28,4.27,2.49,,
Total,31.31,24.60,21.71,28.93,20.31,23.83,24.35,28.69,20.77,32.42,,
Calc annual,31.31,24.60,21.71,28.93,20.31,23.83,24.35,28.69,20.77,32.42,,
Difference,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,,
