"SKYE (STRUAN SCHOOLHOUSE)",,,,,,,,,,,,
Grid ref,NG342383,Long,-6.421246,Lat,57.357368,,,,,,,
Station no,5757/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,4.40,8.65,,,,,
February,,,,,,3.87,4.15,,,,,
March,,,,,,2.10,6.56,,,,,
April,,,,,,2.24,3.17,,,,,
May,,,,,,5.86,2.52,,,,,
June,,,,,,2.59,2.52,,,,,
July,,,,,,6.01,,,,,,
August,,,,,,5.13,,,,,,
September,,,,,,3.99,,,,,,
October,,,,,,6.00,,,,,,
November,,,,,,7.89,,,,,,
December,,,,,,8.51,,,,,,
Total,,,,,,58.59,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,58.59,27.57,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,,
