"GLEN URQUHART FOREST",,,,,,,,,,,,
Grid ref,NH426284,Long,-4.615378,Lat,57.318918,,,,,,,
Station no,5712/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.45,5.42,1.70,4.50,2.85,4.45,7.90,4.65,4.05,4.85,,
February,2.55,1.70,3.05,3.05,3.60,3.45,4.20,3.30,2.20,3.20,,
March,2.45,3.20,2.10,2.95,1.60,1.85,3.60,1.50,1.85,1.00,,
April,6.25,1.92,3.40,1.50,1.00,1.80,1.55,3.05,5.10,5.05,,
May,1.10,3.00,3.60,4.75,3.20,3.25,1.70,5.10,1.20,1.05,,
June,2.05,1.65,5.30,2.30,1.35,2.50,2.45,1.90,2.90,2.40,,
July,3.80,1.70,4.00,2.50,0.30,6.95,6.95,3.30,4.85,2.00,,
August,5.00,4.20,2.95,2.00,0.50,7.35,6.20,3.70,4.20,5.11,,
September,2.70,3.50,3.30,3.95,3.60,6.10,3.10,3.35,0.65,3.11,,
October,2.00,5.00,2.05,8.10,4.45,7.20,4.95,6.55,5.15,2.45,,
November,4.70,3.15,6.00,4.57,1.05,4.00,1.65,1.20,6.60,3.05,,
December,7.50,5.00,4.70,9.50,7.70,10.05,8.55,3.80,6.45,6.30,,
Total,44.55,39.44,42.15,49.67,31.20,58.95,52.80,41.40,45.20,39.57,,
Calc annual,44.55,39.44,42.15,49.67,31.20,58.95,52.80,41.40,45.20,39.57,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
