"CASTLE CARROCK",,,,,,,,,,,,
Grid ref,NY545551,Long,-2.710836,Lat,54.888561,,,,,,,
Station no,3618/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.53,1.68,1.91,2.49,1.57,2.01,2.63,2.36,1.83,4.12,,
February,2.42,0.77,0.87,1.72,1.17,0.93,2.15,2.94,0.52,1.51,,
March,3.86,1.12,0.44,1.31,0.75,1.39,2.15,0.47,1.26,0.93,,
April,1.75,2.10,3.26,0.78,1.44,1.15,1.09,1.74,2.38,1.83,,
May,2.28,1.31,1.95,2.91,1.91,1.38,2.13,2.58,1.48,2.05,,
June,1.77,3.27,1.24,4.69,2.52,2.81,1.30,2.11,2.61,1.06,,
July,3.51,2.46,4.42,3.61,1.42,3.43,4.03,3.31,3.24,3.57,,
August,3.04,3.32,4.11,4.05,2.23,10.83,3.99,3.62,0.61,3.09,,
September,3.70,2.56,3.94,5.96,2.09,2.10,3.53,3.80,1.52,1.92,,
October,0.89,2.45,1.44,8.34,1.65,2.73,3.41,2.68,3.49,2.71,,
November,6.07,3.39,4.00,4.59,1.01,1.31,1.10,1.09,4.38,4.49,,
December,5.31,2.79,1.81,3.97,3.83,2.41,2.62,2.72,3.75,3.15,,
Total,37.13,27.22,29.39,44.42,21.59,32.48,30.13,29.42,27.07,30.43,,
Calc annual,37.13,27.22,29.39,44.42,21.59,32.48,30.13,29.42,27.07,30.43,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,,
