"DAER (KIKHOPE) OLD SITE",,,,,,,,,,,,
Grid ref,NS963055,Long,-3.636236,Lat,55.332577,,,,,,,
Station no,5185/8/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.52,11.79,4.51,7.30,7.20,,,,,,,
February,5.85,4.75,3.29,7.90,3.40,,,,,,,
March,5.04,5.39,1.55,6.80,3.40,,,,,,,
April,6.88,4.46,4.50,2.05,3.65,,,,,,,
May,2.99,3.57,4.80,7.20,5.20,,,,,,,
June,2.91,4.44,4.43,7.05,3.70,,,,,,,
July,4.60,4.83,9.81,6.70,2.80,,,,,,,
August,10.78,5.80,4.96,6.85,2.30,,,,,,,
September,7.93,3.05,7.97,10.90,6.30,,,,,,,
October,1.03,8.33,5.97,15.30,5.25,,,,,,,
November,15.76,4.69,10.93,15.00,,,,,,,,
December,13.71,7.61,7.64,9.60,,,,,,,,
Total,86.00,68.71,70.36,102.65,,,,,,,,
Calc annual,86.00,68.71,70.36,102.65,43.20,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
