"ARISAIG HOUSE",,,,,,,,,,,,
Grid ref,NM692848,Long,-5.791467,Lat,56.896917,,,,,,,
Station no,5721,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.18,5.85,6.99,7.13,4.03,5.51,8.57,7.74,4.08,3.40,,
February,3.61,3.94,4.93,3.69,4.72,4.39,4.45,4.09,2.56,4.26,,
March,4.03,4.48,2.36,4.21,1.77,2.25,6.30,1.40,5.53,1.24,,
April,3.92,2.72,5.31,2.09,5.98,3.11,3.36,3.66,4.38,4.53,,
May,0.86,3.66,3.51,4.46,3.07,5.59,1.92,4.38,1.75,2.60,,
June,2.62,6.52,1.29,7.34,5.10,3.61,4.53,2.12,4.95,4.87,,
July,8.00,5.88,6.65,5.83,2.20,7.21,9.66,2.66,9.08,3.63,,
August,4.22,6.46,8.85,8.90,2.45,4.99,5.66,4.71,4.46,4.70,,
September,5.34,5.45,6.07,9.27,8.53,4.48,3.78,4.46,4.18,5.23,,
October,5.34,6.47,5.40,11.77,7.90,6.71,9.91,10.42,8.22,1.55,,
November,7.75,3.37,12.32,8.94,2.87,7.55,4.43,3.85,8.65,6.69,,
December,10.50,7.44,7.63,8.92,6.79,10.24,6.63,4.50,7.52,8.63,,
Total,64.37,62.24,71.31,82.55,55.41,65.64,69.20,53.99,65.36,51.33,,
Calc annual,64.37,62.24,71.31,82.55,55.41,65.64,69.20,53.99,65.36,51.33,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
