"BURNHOPE RESERVOIR",,,,,,,,,,,,
Grid ref,NY850391,Long,-2.234539,Lat,54.746631,,,,,,,
Station no,3536/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.89,7.68,1.46,5.32,5.20,4.41,6.93,4.65,4.16,7.22,,
February,6.48,1.80,2.71,3.87,3.74,4.27,4.01,7.30,0.96,5.60,,
March,4.95,2.20,1.05,4.08,2.21,2.79,2.97,2.67,1.87,2.23,,
April,4.72,2.93,5.05,1.01,1.20,1.53,0.46,2.09,4.88,4.15,,
May,3.82,2.24,3.12,7.09,4.68,1.91,2.33,4.81,0.68,2.36,,
June,1.39,1.85,4.23,3.46,3.01,2.96,1.17,3.53,2.44,1.81,,
July,2.24,3.00,3.68,2.41,2.04,3.88,4.63,4.01,3.66,4.62,,
August,5.75,5.37,5.28,9.39,1.46,8.71,8.05,3.28,0.63,3.40,,
September,3.32,6.78,5.27,6.48,2.46,5.07,4.68,4.25,1.38,2.56,,
October,1.08,7.62,2.45,9.13,3.06,3.41,4.71,3.76,4.74,10.35,,
November,12.02,4.33,5.23,10.14,2.37,2.06,3.10,0.82,7.48,8.13,,
December,9.63,5.52,2.49,7.88,7.41,7.45,5.70,6.46,10.27,5.63,,
Total,59.29,51.32,42.02,70.26,38.84,48.45,48.74,47.63,43.15,58.06,,
Calc annual,59.29,51.32,42.02,70.26,38.84,48.45,48.74,47.63,43.15,58.06,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
