"SHINFIELD (UNIV. HORT. FARM)",,,,,,,,,,,,
Grid ref,SU734686,Long,-0.946003,Lat,51.411680,,,,,,,
Station no,797,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.78,1.92,0.90,1.12,2.98,3.22,1.42,2.76,2.36,2.42,,
February,4.99,0.66,1.41,2.31,1.11,0.17,2.71,2.45,0.17,1.79,,
March,3.81,2.11,0.32,2.15,0.89,0.43,1.12,1.24,2.43,1.24,,
April,2.78,1.45,2.60,0.26,0.24,1.47,0.27,1.14,2.01,0.38,,
May,2.50,3.39,1.78,1.98,3.59,0.24,0.96,1.73,0.32,1.59,,
June,1.17,1.51,1.55,4.26,1.97,1.89,1.61,3.59,1.28,1.11,,
July,0.88,0.35,3.84,2.39,0.17,2.69,4.18,2.54,2.75,2.66,,
August,4.38,2.39,1.73,3.06,0.37,3.88,1.89,3.41,1.37,2.73,,
September,2.98,2.37,2.25,1.86,1.50,2.83,2.94,2.95,0.04,3.38,,
October,0.71,3.38,3.15,1.79,2.72,1.61,2.02,2.06,2.44,7.42,,
November,6.21,3.05,1.01,4.54,1.65,0.52,2.38,2.32,2.36,3.63,,
December,1.93,2.38,0.59,2.50,2.41,3.47,2.34,2.78,3.66,3.23,,
Total,35.12,24.96,21.13,28.22,19.60,22.42,23.84,28.97,21.19,31.58,,
Calc annual,35.12,24.96,21.13,28.22,19.60,22.42,23.84,28.97,21.19,31.58,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
