"AFTON RES (ALWHAT BURN)",,,,,,,,,,,,
Grid ref,NS642029,Long,-4.140641,Lat,55.301409,,,,,,,
Station no,5273/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.30,8.70,4.10,7.95,7.60,5.65,,,,,,
February,7.60,3.31,2.85,7.10,2.95,2.15,,,,,,
March,6.30,5.15,1.20,5.85,3.24,3.95,,,,,,
April,4.90,5.10,4.70,2.90,4.77,2.65,,,,,,
May,3.20,3.84,4.50,7.10,5.85,3.70,,,,,,
June,3.10,4.90,3.40,6.90,4.95,7.60,,,,,,
July,4.04,6.60,7.10,7.60,3.25,8.60,,,,,,
August,13.10,6.75,6.10,7.20,2.85,11.60,,,,,,
September,8.75,4.20,10.00,13.40,8.05,7.90,,,,,,
October,1.60,7.70,6.90,13.40,5.85,5.65,,,,,,
November,16.90,4.20,10.85,14.10,5.05,3.70,,,,,,
December,13.90,7.60,8.00,11.35,12.20,11.40,,,,,,
Total,91.69,68.05,69.70,104.85,66.61,74.55,,,,,,
Calc annual,91.69,68.05,69.70,104.85,66.61,74.55,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,,
