"KINGSBARNS (CROFT BUTTS)",,,,,,,,,,,,
Grid ref,NO593123,Long,-2.659287,Lat,56.301371,,,,,,,
Station no,5494,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.37,1.18,0.60,1.38,1.38,2.35,,,,,,
February,2.30,0.68,0.75,1.94,2.51,1.05,,,,,,
March,2.67,2.33,0.22,1.81,1.67,-999.00,,,,,,
April,2.06,1.60,1.62,0.90,0.71,,,,,,,
May,2.52,1.74,1.79,2.33,1.72,,,,,,,
June,1.87,2.46,0.77,2.09,0.60,,,,,,,
July,2.35,1.86,2.81,1.37,1.34,,,,,,,
August,4.11,2.43,1.25,2.55,0.32,,,,,,,
September,1.40,1.50,2.25,2.30,0.94,,,,,,,
October,0.34,2.16,1.55,6.38,1.55,,,,,,,
November,6.38,,2.58,3.62,1.19,,,,,,,
December,2.17,,3.53,2.58,3.69,-999.00,,,,,,
Total,32.54,,19.72,29.25,17.62,-999.00,,,,,,
Calc annual,32.54,17.94,19.72,29.25,17.62,3.40,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,-0.00,0.00,0.00,-1002.40,NaN,NaN,NaN,NaN,,
