"GLEN TILT (MARBLE LODGE)",,,,,,,,,,,,
Grid ref,NN899717,Long,-3.805573,Lat,56.823706,,,,,,,
Station no,1338347,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.56,,,
February,,,,,,,,,1.05,,,
March,,,,,,,,,2.85,,,
April,,,,,,,,,2.36,,,
May,,,,,,,,,1.04,,,
June,,,,,,,,,3.06,,,
July,,,,,,,,,4.10,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,0.85,,,,
December,,,,,,,,4.25,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.10,17.02,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
