"SALISBURY (HARNHAM)",,,,,,,,,,,,
Grid ref,SU135290,Long,-1.808742,Lat,51.060183,,,,,,,
Station no,1506,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.53,,,,,,,,,,,
February,5.74,,,,,,,,,,,
March,4.58,,,,,,,,,,,
April,3.93,,,,,,,,,,,
May,3.05,,,,,,,,,,,
June,0.41,,,,,,,,,,,
July,0.83,,,,,,,,,,,
August,5.45,,,,,,,,,,,
September,4.16,,,,,,,,,,,
October,1.08,,,,,,,,,,,
November,10.37,,,,,,,,,,,
December,3.39,,,,,,,,,,,
Total,46.52,,,,,,,,,,,
Calc annual,46.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
