"PENGE (RECREATION GROUND)",,,,,,,,,,,,
Grid ref,TQ352703,Long,-0.057183,Lat,51.415604,,,,,,,
Station no,401,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.98,1.86,1.07,1.41,2.60,3.59,1.35,1.96,2.34,1.68,,
February,6.71,1.36,1.38,2.08,1.53,0.41,2.69,2.72,0.08,1.63,,
March,2.34,2.74,0.59,1.80,1.13,1.08,0.79,1.50,1.77,1.68,,
April,2.29,1.31,2.38,0.28,0.25,1.24,0.28,1.66,1.92,0.69,,
May,2.09,2.55,2.33,1.93,4.56,0.38,1.28,2.12,0.88,2.27,,
June,1.01,1.82,1.72,3.65,2.61,3.10,0.86,4.54,0.93,1.26,,
July,1.75,0.78,2.36,2.20,0.04,4.84,2.66,2.39,1.34,3.14,,
August,2.98,3.25,1.61,2.76,1.00,3.24,3.95,4.16,1.42,2.61,,
September,2.92,3.46,2.76,1.82,2.36,2.23,2.50,4.80,0.07,4.73,,
October,1.05,2.66,3.93,1.68,3.52,1.09,1.90,2.79,2.22,5.34,,
November,5.09,3.44,1.11,3.88,0.58,0.59,2.70,1.83,3.01,4.08,,
December,2.18,1.88,0.58,1.51,2.00,2.65,1.83,2.77,3.53,2.58,,
Total,33.39,27.11,21.82,25.00,22.18,24.44,22.79,33.24,19.51,31.69,,
Calc annual,33.39,27.11,21.82,25.00,22.18,24.44,22.79,33.24,19.51,31.69,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
