"BIRMINGHAM W.W. (GWNGU)",,,,,,,,,,,,
Grid ref,SN839732,Long,-3.705726,Lat,52.344546,,,,,,,
Station no,4138,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.72,6.85,3.60,5.75,5.05,8.10,6.08,6.90,8.10,10.45,,
February,7.95,5.20,3.80,6.65,3.40,1.40,6.30,9.76,1.75,9.00,,
March,8.17,3.23,6.15,5.00,4.00,4.20,5.85,2.15,4.30,3.35,,
April,6.25,2.60,5.20,2.90,5.65,2.65,0.54,2.95,6.80,5.80,,
May,3.32,3.20,3.40,3.55,7.60,2.00,3.50,3.95,2.10,2.85,,
June,1.50,3.90,1.90,-999.00,6.20,3.95,2.70,5.25,3.10,3.00,,
July,3.10,2.70,9.10,7.20,1.15,6.00,9.50,5.00,4.90,8.50,,
August,6.60,5.85,5.20,9.10,2.25,8.10,12.70,4.30,1.00,6.85,,
September,4.75,6.30,5.70,7.50,6.14,6.90,14.20,9.10,0.50,6.25,,
October,2.45,7.10,3.50,10.70,5.70,4.45,7.20,8.10,11.00,6.30,,
November,12.60,5.50,5.40,11.16,4.30,4.45,4.17,4.10,7.35,10.80,,
December,9.21,7.30,2.68,10.10,7.65,7.75,8.00,6.20,12.20,10.00,,
Total,72.62,59.73,55.63,85.51,59.09,59.95,80.74,67.76,63.10,83.15,,
Calc annual,72.62,59.73,55.63,79.61,59.09,59.95,80.74,67.76,63.10,83.15,,
Difference,0.00,0.00,0.00,5.90,0.00,0.00,-0.00,0.00,-0.00,0.00,,
