"CALLANDER (DUILATUR)",,,,,,,,,,,,
Grid ref,NN601063,Long,-4.258228,Lat,56.228608,,,,,,,
Station no,5511/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,4.11,10.47,9.99,3.56,5.48,,
February,,,,,,2.24,4.58,2.94,2.52,4.89,,
March,,,,,,3.37,7.66,1.95,4.97,4.38,,
April,,,,,,1.70,2.63,1.95,5.41,5.62,,
May,,,,,3.83,3.37,4.04,4.94,1.34,,,
June,,,,,3.46,3.35,2.35,3.20,2.58,,,
July,,,,,1.05,6.92,5.40,5.77,6.33,,,
August,,,,,1.18,6.37,5.32,7.60,2.20,,,
September,,,,,4.79,8.02,3.68,5.83,1.46,,,
October,,,,,4.64,4.11,6.22,6.18,5.97,,,
November,,,,,3.06,1.91,1.83,2.60,7.80,,,
December,,,,,10.52,8.07,9.48,6.89,11.06,,,
Total,,,,,,53.54,63.66,59.84,55.20,,,
Calc annual,0.00,0.00,0.00,0.00,32.53,53.54,63.66,59.84,55.20,20.37,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,,
