"BURTON JOYCE (WATERWORKS)",,,,,,,,,,,,
Grid ref,SK654443,Long,-1.027130,Lat,52.992048,,,,,,,
Station no,2611,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.17,1.83,0.60,1.46,2.16,3.60,1.45,2.79,2.78,4.55,,
February,2.86,0.48,1.27,2.43,2.30,0.58,2.06,3.82,0.18,1.93,,
March,3.18,2.35,0.81,1.83,2.50,0.80,2.27,1.55,1.55,1.44,,
April,1.95,1.94,2.04,0.24,1.21,1.82,0.23,0.87,2.77,1.09,,
May,2.92,2.38,2.00,2.69,3.78,0.60,1.31,2.18,0.66,1.03,,
June,1.69,2.49,2.06,3.54,3.36,3.69,1.65,4.60,1.20,1.04,,
July,0.99,0.32,1.89,1.91,1.05,3.26,2.35,3.72,1.47,3.75,,
August,5.01,1.74,1.73,4.35,0.61,4.74,3.23,2.79,0.59,4.73,,
September,1.11,1.53,1.07,2.49,0.88,1.96,5.56,2.05,0.11,3.78,,
October,0.96,2.78,2.51,3.09,1.60,1.24,1.14,1.93,2.28,5.52,,
November,5.10,1.77,1.46,4.24,1.82,0.73,1.80,1.16,1.93,2.88,,
December,1.66,2.26,0.82,2.13,1.82,2.10,1.78,3.05,3.00,3.41,,
Total,29.60,21.87,18.26,30.40,23.09,25.12,24.83,30.51,18.52,35.15,,
Calc annual,29.60,21.87,18.26,30.40,23.09,25.12,24.83,30.51,18.52,35.15,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
