"HEY SPRINGS",,,,,,,,,,,,
Grid ref,SE117046,Long,-1.824934,Lat,53.537921,,,,,,,
Station no,3177/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.05,8.25,3.26,5.21,5.03,7.37,5.61,6.36,6.51,8.01,,
February,7.28,3.14,2.94,4.99,2.96,2.35,4.56,8.39,0.60,4.41,,
March,9.18,3.37,4.27,3.52,3.64,2.50,4.80,3.83,2.59,2.86,,
April,4.39,4.41,5.06,1.28,2.49,3.24,0.57,2.34,6.80,4.43,,
May,4.06,2.53,3.11,4.48,6.48,1.98,1.88,5.20,2.07,2.62,,
June,1.68,3.51,4.62,3.27,4.29,3.73,1.85,5.90,2.41,2.59,,
July,3.99,2.79,7.54,6.38,2.05,9.04,6.35,5.93,4.73,8.44,,
August,7.91,5.04,5.56,7.82,1.09,12.87,7.24,4.48,0.91,6.24,,
September,3.96,5.45,3.87,8.16,3.23,5.58,7.68,5.92,0.35,4.03,,
October,1.46,7.87,2.82,10.87,4.25,4.30,7.66,5.63,6.56,9.04,,
November,12.96,3.65,5.33,10.27,2.57,3.06,3.73,1.79,6.43,9.26,,
December,11.94,6.48,2.77,11.46,8.22,6.87,7.36,6.27,12.70,8.47,,
Total,76.86,56.49,51.15,77.71,46.30,62.89,59.29,62.04,52.66,70.40,,
Calc annual,76.86,56.49,51.15,77.71,46.30,62.89,59.29,62.04,52.66,70.40,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
