"CHATHAM (LUTON WATERWORKS P.S.)",,,,,,,,,,,,
Grid ref,TQ775663,Long,0.548532,Lat,51.368021,,,,,,,
Station no,369,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.29,2.13,1.06,1.35,2.82,4.69,1.27,2.22,2.16,2.47,,
February,5.74,1.01,1.10,1.86,2.06,0.51,3.35,2.00,-999.00,1.85,,
March,2.99,3.13,0.24,2.58,1.18,0.56,1.05,1.09,1.77,1.49,,
April,2.47,0.98,2.32,0.23,0.20,1.03,0.12,1.65,2.29,0.54,,
May,2.26,1.07,1.89,2.06,3.90,0.39,1.38,1.81,0.78,2.94,,
June,1.19,1.66,2.38,3.87,2.50,2.28,1.07,3.94,0.75,1.74,,
July,2.71,0.81,2.93,2.36,2.70,4.36,3.01,1.79,1.57,3.46,,
August,3.64,2.70,1.36,3.21,2.05,2.98,2.22,5.04,0.72,4.45,,
September,4.17,3.48,2.86,1.60,2.03,1.82,2.54,4.12,0.21,3.82,,
October,1.09,2.15,2.54,1.66,4.43,1.11,1.23,3.22,1.94,6.18,,
November,3.78,4.48,1.25,5.02,0.83,0.58,3.31,1.50,2.87,4.14,,
December,1.92,2.75,0.73,1.62,1.67,2.41,2.27,3.47,3.60,2.94,,
Total,34.25,26.35,20.66,27.42,26.37,22.72,22.82,31.85,18.66,36.02,,
Calc annual,34.25,26.35,20.66,27.42,26.37,22.72,22.82,31.85,18.66,36.02,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
