"STRATH OYKELL (ROSEHALL)",,,,,,,,,,,,
Grid ref,NC467023,Long,-4.594298,Lat,57.983436,,,,,,,
Station no,5798/7/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.27,6.41,3.58,,
February,,,,,,,,3.51,1.27,3.06,,
March,,,,,,,,2.16,1.60,0.84,,
April,,,,,,,,2.11,4.22,2.73,,
May,,,,,,,,5.03,2.13,1.64,,
June,,,,,,,,2.58,2.80,2.78,,
July,,,,,,,,2.28,3.73,2.21,,
August,,,,,,,,4.67,2.63,4.01,,
September,,,,,,,,2.58,2.34,2.13,,
October,,,,,,,,5.18,5.51,2.38,,
November,,,,,,,,1.28,4.85,2.59,,
December,,,,,,,,3.71,3.07,4.54,,
Total,,,,,,,,38.36,40.56,82.49,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.36,40.56,32.49,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,50.00,,
