"OLD DEER (MAVIS BANK)",,,,,,,,,,,,
Grid ref,NJ978480,Long,-2.038385,Lat,57.522162,,,,,,,
Station no,5656/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,6.02,,
February,,,,,,,,,,3.43,,
March,,,,,,,,,,1.25,,
April,,,,,,,,,,2.29,,
May,,,,,,,,,,0.98,,
June,,,,,,,,,1.08,1.53,,
July,,,,,,,,,2.86,3.86,,
August,,,,,,,,,1.35,4.81,,
September,,,,,,,,,1.07,2.91,,
October,,,,,,,,,5.21,6.25,,
November,,,,,,,,,6.06,5.66,,
December,,,,,,,,,0.49,2.11,,
Total,,,,,,,,,,41.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.12,41.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
