"HULL (UNIVERSITY)",,,,,,,,,,,,
Grid ref,TA076320,Long,-0.368816,Lat,53.773231,,,,,,,
Station no,3394/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.30,,
February,,,,,,,,,,1.65,,
March,,,,,,,,,,0.99,,
April,,,,,,,,,,1.08,,
May,,,,,,,,,,0.90,,
June,,,,,,,,,,0.32,,
July,,,,,,,,,,3.91,,
August,,,,,,,,,0.29,2.61,,
September,,,,,,,,,0.29,2.35,,
October,,,,,,,,,2.01,5.49,,
November,,,,,,,,,2.20,4.02,,
December,,,,,,,,,3.01,3.22,,
Total,,,,,,,,,,30.84,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.80,30.84,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
