"HELVELLYN (BROWN RIGG)",,,,,,,,,,,,
Grid ref,NY309148,Long,-3.069111,Lat,54.523755,,,,,,,
Station no,3632/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.41,8.56,6.08,8.72,11.23,6.06,22.74,10.78,7.09,14.92,,
February,14.20,2.88,4.41,7.92,3.25,1.75,11.29,11.43,3.51,14.90,,
March,10.27,6.80,1.59,7.76,3.09,4.46,9.46,2.43,10.85,3.31,,
April,8.82,6.41,8.12,2.42,4.91,2.15,2.53,3.67,10.32,10.50,,
May,4.73,5.54,5.54,8.05,10.53,5.77,5.19,10.11,2.13,4.36,,
June,2.28,5.47,6.65,10.51,6.76,5.64,2.82,6.61,5.48,7.04,,
July,5.97,6.63,15.25,10.84,4.14,8.92,8.16,6.00,10.32,10.27,,
August,13.45,13.43,11.56,9.00,4.93,14.89,10.20,9.07,1.84,5.88,,
September,19.50,9.00,18.98,20.13,7.63,8.35,11.68,14.69,1.57,7.54,,
October,1.96,11.56,8.74,27.98,7.82,9.39,14.74,12.71,15.72,6.25,,
November,25.38,5.64,21.13,29.16,6.38,4.21,5.05,2.61,16.71,25.23,,
December,24.30,7.73,8.34,15.94,15.95,19.15,14.33,10.25,25.44,13.75,,
Total,142.27,89.65,116.39,158.43,86.62,90.74,118.19,100.36,110.98,123.95,,
Calc annual,142.27,89.65,116.39,158.43,86.62,90.74,118.19,100.36,110.98,123.95,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
