"TORPHICHEN (LOCHCOTE)",,,,,,,,,,,,
Grid ref,NS974737,Long,-3.644374,Lat,55.945351,,,,,,,
Station no,5156,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.09,2.80,0.98,3.79,2.81,1.64,4.76,2.31,1.20,3.78,,
February,2.60,0.71,1.28,2.37,2.34,1.67,3.82,2.32,0.94,2.86,,
March,3.60,2.14,0.66,2.11,1.72,1.79,2.72,1.99,1.13,1.82,,
April,2.80,1.18,2.80,1.61,0.79,0.55,2.00,1.87,1.95,1.91,,
May,2.75,1.64,2.47,4.32,2.80,1.41,2.41,3.04,1.09,2.06,,
June,2.28,2.78,1.28,2.44,1.30,3.29,1.77,3.87,2.37,1.48,,
July,6.03,2.67,6.36,3.05,1.10,4.45,3.61,6.39,3.55,2.71,,
August,5.06,3.72,2.75,5.37,1.14,6.49,3.13,4.77,0.80,3.61,,
September,2.11,2.43,3.33,3.92,2.48,4.13,2.33,3.71,0.85,1.97,,
October,0.64,2.63,1.65,7.94,1.81,2.26,2.57,2.14,3.14,3.85,,
November,5.39,2.50,5.42,4.58,1.43,0.68,2.52,1.50,6.89,3.39,,
December,4.04,2.35,3.93,4.85,4.71,3.70,4.43,5.46,4.76,4.10,,
Total,41.39,27.55,32.91,46.35,24.43,32.06,36.07,39.37,28.67,33.54,,
Calc annual,41.39,27.55,32.91,46.35,24.43,32.06,36.07,39.37,28.67,33.54,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
