"DUNS (NISBET HOUSE GDNS)",,,,,,,,,,,,
Grid ref,NT795512,Long,-2.328180,Lat,55.753726,,,,,,,
Station no,5090,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.82,1.98,,,,,,,,,,
February,1.75,0.59,,,,,,,,,,
March,3.88,1.70,,,,,,,,,,
April,3.15,1.62,,,,,,,,,,
May,3.14,2.14,,,,,,,,,,
June,1.12,2.68,,,,,,,,,,
July,2.28,1.38,,,,,,,,,,
August,3.60,2.13,,,,,,,,,,
September,1.28,3.08,,,,,,,,,,
October,0.58,2.94,,,,,,,,,,
November,6.00,,,,,,,,,,,
December,1.42,,,,,,,,,,,
Total,32.02,,,,,,,,,,,
Calc annual,32.02,20.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
