"CLACHAN POWER STATION",,,,,,,,,,,,
Grid ref,NN195133,Long,-4.917050,Lat,56.277739,,,,,,,
Station no,5428/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,6.34,10.90,9.74,2.68,4.82,,
February,,,,,,3.06,5.87,4.75,3.83,6.83,,
March,,,,,,4.91,8.72,2.07,7.40,3.69,,
April,,,,,,2.70,2.77,3.79,6.72,8.88,,
May,,,,,,6.20,2.59,5.98,2.88,5.11,,
June,,,,,,5.46,4.16,2.90,4.54,4.63,,
July,,,,,,6.69,6.64,3.99,7.84,7.27,,
August,,,,,,6.44,7.84,7.12,4.73,3.90,,
September,,,,,,6.73,5.66,4.59,2.19,3.47,,
October,,,,,,6.19,9.65,8.99,9.20,5.85,,
November,,,,,,5.67,3.83,2.55,9.22,11.06,,
December,,,,,,13.44,12.70,10.39,14.45,10.67,,
Total,,,,,,73.83,81.33,66.86,75.68,76.18,,
Calc annual,0.00,0.00,0.00,0.00,0.00,73.83,81.33,66.86,75.68,76.18,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,,
