"MISTERTON (HENLEY)",,,,,,,,,,,,
Grid ref,ST440076,Long,-2.797114,Lat,50.865180,,,,,,,
Station no,2050/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.92,3.63,4.49,3.56,3.68,5.38,3.41,,
February,,,,2.83,2.62,0.13,5.78,3.82,0.36,4.66,,
March,,,,4.30,1.22,1.04,3.05,1.71,3.71,2.20,,
April,,,,0.30,0.98,0.82,0.11,0.91,3.54,2.77,,
May,,,,2.33,4.12,0.51,1.81,3.46,1.17,1.44,,
June,,,,3.39,2.47,2.58,3.21,4.04,1.14,1.32,,
July,,,,2.39,3.17,2.95,2.80,2.28,2.12,3.45,,
August,,,,3.22,0.50,3.99,3.08,2.56,1.56,5.53,,
September,,,,3.23,1.72,5.79,3.32,5.69,0.11,4.91,,
October,,,,3.04,2.49,1.99,2.51,3.20,3.24,11.63,,
November,,,,8.66,4.91,0.73,2.75,3.01,5.67,5.27,,
December,,,,3.41,5.62,4.78,3.58,4.84,9.00,3.78,,
Total,,,,39.02,33.45,29.80,35.56,39.20,37.00,50.37,,
Calc annual,0.00,0.00,0.00,39.02,33.45,29.80,35.56,39.20,37.00,50.37,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
