"SWANSEA WW (NANTYRWYDD)",,,,,,,,,,,,
Grid ref,SN859181,Long,-3.657913,Lat,51.849797,,,,,,,
Station no,4142,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.26,7.95,2.77,4.67,7.06,10.72,13.61,8.30,7.08,12.10,,
February,8.42,2.09,4.53,10.27,4.07,1.16,8.69,11.46,0.84,10.67,,
March,8.03,6.53,5.96,7.33,5.43,4.21,9.50,1.48,6.40,4.07,,
April,5.57,5.80,6.36,2.28,7.90,2.01,1.10,2.50,7.43,7.52,,
May,4.05,6.24,5.04,6.07,8.67,2.94,4.14,7.10,1.94,2.78,,
June,2.69,5.74,3.48,8.94,9.95,5.49,1.70,5.36,5.74,4.14,,
July,1.77,2.24,8.32,8.32,1.89,6.18,8.90,6.32,7.91,11.33,,
August,9.04,9.83,6.73,10.11,2.18,10.87,6.94,5.66,1.54,7.44,,
September,6.96,5.52,8.51,11.05,4.32,8.97,14.14,12.45,0.45,8.29,,
October,2.26,7.35,5.23,20.09,5.09,4.05,8.47,6.81,11.93,9.53,,
November,13.54,6.26,7.96,15.94,6.07,2.65,3.95,4.72,13.04,19.52,,
December,9.86,6.64,2.74,9.09,12.92,9.47,9.06,5.85,18.19,12.86,,
Total,81.45,72.19,67.63,114.16,75.55,68.72,90.20,78.01,82.49,110.25,,
Calc annual,81.45,72.19,67.63,114.16,75.55,68.72,90.20,78.01,82.49,110.25,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
