"TAN HILL",,,,,,,,,,,,
Grid ref,NY889064,Long,-2.172705,Lat,54.452868,,,,,,,
Station no,3445/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,9.94,6.15,3.39,,,
February,,,,,,,4.10,6.41,1.71,,,
March,,,,,,,3.70,2.26,3.16,,,
April,,,,,,,0.63,2.00,4.11,,,
May,,,,,,,2.50,6.40,1.00,,,
June,,,,,,,2.32,4.44,3.37,,,
July,,,,,,,5.40,5.84,3.46,,,
August,,,,,,10.01,9.20,4.27,1.71,,,
September,,,,,,5.90,5.65,5.77,1.03,,,
October,,,,,,4.61,6.26,4.76,5.50,,,
November,,,,,,1.68,2.82,1.19,6.85,,,
December,,,,,,6.73,5.34,4.91,11.90,,,
Total,,,,,,,57.86,54.40,47.19,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,28.93,57.86,54.40,47.19,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,NaN,,
