"PEEBLES (GLENTRESS)",,,,,,,,,,,,
Grid ref,NT285397,Long,-3.137605,Lat,55.645561,,,,,,,
Station no,5076/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.84,,
February,,,,,,,,,,4.01,,
March,,,,,,,,,,2.10,,
April,,,,,,,,,,2.59,,
May,,,,,,,,,,1.95,,
June,,,,,,,,,,0.84,,
July,,,,,,,,,,2.34,,
August,,,,,,,,,0.79,3.60,,
September,,,,,,,,,0.72,1.58,,
October,,,,,,,,,3.78,2.44,,
November,,,,,,,,,7.38,3.26,,
December,,,,,,,,,4.05,3.23,,
Total,,,,,,,,,,31.78,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.72,31.78,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
