"WHALLY (CALDERSTONES INSTITUTION)",,,,,,,,,,,,
Grid ref,SD725371,Long,-2.419295,Lat,53.829429,,,,,,,
Station no,2974/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.98,5.63,1.87,5.01,2.62,4.37,3.91,3.75,3.04,5.36,,
February,3.61,1.67,1.62,2.31,1.67,1.01,3.12,8.24,0.71,2.84,,
March,4.56,1.78,1.49,2.67,1.63,1.33,3.34,1.57,1.58,0.99,,
April,2.56,3.38,2.62,1.27,3.15,2.03,0.58,1.42,2.45,2.57,,
May,1.79,2.66,2.58,2.55,3.13,1.97,1.91,5.55,2.23,1.72,,
June,1.15,3.34,2.56,3.54,3.11,2.56,1.74,4.61,3.28,1.10,,
July,4.16,2.84,5.43,6.54,1.09,5.06,5.27,4.07,4.16,8.36,,
August,5.04,5.61,6.03,6.26,1.00,10.48,5.49,3.95,0.30,5.13,,
September,3.44,4.63,4.77,6.11,2.89,4.01,7.57,4.41,0.42,2.70,,
October,1.05,3.06,1.45,8.29,3.33,2.98,6.74,3.77,5.06,2.77,,
November,8.74,2.17,5.33,5.87,1.79,1.83,1.61,1.47,5.33,7.76,,
December,11.33,4.69,2.07,6.70,6.51,4.63,6.44,3.77,7.33,5.50,,
Total,52.41,41.46,37.82,57.12,31.92,42.26,47.72,46.58,35.89,46.80,,
Calc annual,52.41,41.46,37.82,57.12,31.92,42.26,47.72,46.58,35.89,46.80,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
