"FORD (OXENFOORD CASTLE)",,,,,,,,,,,,
Grid ref,NT389655,Long,-2.978179,Lat,55.878762,,,,,,,
Station no,5111,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.36,,1.96,1.87,1.52,,,,,,
February,,0.36,,1.20,1.45,1.98,2.12,1.64,0.57,2.26,,
March,,1.34,,1.27,1.38,1.63,1.36,1.36,,1.24,,
April,,1.61,,0.90,0.30,0.70,,,,,,
May,,2.00,,5.82,1.69,0.44,1.17,1.59,0.72,1.15,,
June,,2.71,,2.38,0.47,2.20,1.19,2.00,2.87,1.15,,
July,,2.49,,2.09,2.05,4.66,3.51,5.75,2.18,,,
August,,2.86,,5.56,0.70,8.00,,2.67,,,,
September,,1.90,,3.00,1.50,3.13,,,,,,
October,,1.45,,5.17,1.66,1.42,1.85,1.09,1.75,3.04,,
November,,2.66,,2.91,0.80,0.73,,0.93,4.86,2.88,,
December,,1.41,,2.72,3.85,2.66,,,,2.36,,
Total,,23.15,,34.98,17.72,29.07,,,,,,
Calc annual,0.00,23.15,0.00,34.98,17.72,29.07,11.20,17.03,12.95,14.08,,
Difference,NaN,0.00,NaN,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
