"PLYMOUTH (MOUNT BATTEN)",,,,,,,,,,,,
Grid ref,SX492529,Long,-4.121277,Lat,50.356643,,,,,,,
Station no,1634,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.66,4.12,0.90,1.67,5.63,4.75,3.28,4.63,4.68,5.11,,
February,4.22,0.76,1.68,4.62,3.60,0.50,6.05,3.93,0.24,4.02,,
March,4.76,4.30,0.64,3.35,1.60,1.79,4.65,2.33,5.35,2.68,,
April,1.92,3.37,2.78,0.40,1.59,1.11,0.19,0.75,-999.00,2.86,,
May,3.02,1.94,3.66,2.50,3.35,1.13,1.94,3.45,0.82,2.39,,
June,1.00,0.89,2.03,3.20,2.81,2.67,1.69,3.93,1.36,1.24,,
July,1.15,1.06,3.86,3.44,2.15,4.14,5.66,3.22,1.47,4.28,,
August,5.11,6.28,1.88,3.10,0.37,3.35,3.07,5.81,2.92,4.51,,
September,5.20,2.86,2.93,3.87,1.87,6.77,3.49,5.29,,5.80,,
October,1.50,5.56,3.42,3.77,2.59,2.07,2.79,3.21,4.34,8.27,,
November,6.46,4.11,2.79,8.36,3.85,1.47,2.82,3.16,7.85,6.33,,
December,3.74,3.49,0.75,3.60,5.98,5.90,2.85,5.00,8.34,4.97,,
Total,42.74,38.74,27.32,41.88,35.39,35.66,38.48,44.71,41.54,52.46,,
Calc annual,42.74,38.74,27.32,41.88,35.39,35.65,38.48,44.71,37.37,52.46,,
Difference,0.00,0.00,0.00,0.00,0.00,0.01,-0.00,0.00,4.17,0.00,,
