"PATESHILL RESERVOIR",,,,,,,,,,,,
Grid ref,NS990593,Long,-3.613392,Lat,55.816359,,,,,,,
Station no,5125/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.03,2.38,1.49,3.04,2.07,1.44,4.06,2.52,1.07,2.40,,
February,2.72,0.85,1.43,1.86,1.18,1.38,2.30,1.86,1.10,2.28,,
March,3.28,1.09,0.72,1.68,1.10,1.40,2.77,1.51,1.54,1.61,,
April,3.54,1.83,2.26,0.79,1.26,0.61,1.76,1.60,2.35,1.49,,
May,2.62,1.75,2.09,4.25,2.77,1.39,1.67,3.48,1.33,1.08,,
June,2.09,2.30,1.69,2.54,1.79,3.01,2.67,2.57,2.66,1.21,,
July,3.46,2.20,5.38,3.16,1.50,4.23,3.28,5.79,4.01,1.97,,
August,5.57,3.61,2.40,4.68,1.49,4.67,5.09,3.78,0.78,2.92,,
September,2.82,2.13,2.29,4.53,2.75,3.00,2.28,4.26,0.78,1.72,,
October,1.28,2.41,1.99,7.55,2.37,2.22,3.17,2.00,3.45,2.22,,
November,5.54,2.45,6.21,5.00,1.25,1.03,1.53,1.69,5.42,3.06,,
December,4.19,3.03,3.61,4.63,5.32,3.99,4.15,4.75,3.52,3.37,,
Total,41.14,26.03,31.56,43.71,24.85,28.37,34.73,35.81,28.01,25.33,,
Calc annual,41.14,26.03,31.56,43.71,24.85,28.37,34.73,35.81,28.01,25.33,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
