"SALTBURN (NORTH SKELTON MINE)",,,,,,,,,,,,
Grid ref,NZ675182,Long,-0.957850,Lat,54.554551,,,,,,,
Station no,3478/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.51,2.77,0.81,2.35,2.08,3.94,1.48,2.45,2.98,5.55,,
February,2.96,0.71,2.38,2.02,2.90,2.12,2.75,3.86,0.52,2.55,,
March,4.03,1.51,0.17,1.90,1.94,0.59,0.82,4.59,0.76,1.37,,
April,1.76,1.24,2.16,0.19,1.47,1.04,0.56,1.69,2.41,0.61,,
May,5.86,1.52,1.60,2.21,1.87,0.43,0.85,2.58,0.72,0.93,,
June,2.40,1.40,2.98,1.80,2.61,3.33,2.73,3.26,1.75,0.31,,
July,1.83,1.70,2.83,1.14,0.99,3.81,3.22,2.33,2.98,5.16,,
August,6.67,2.51,2.94,7.60,0.60,8.17,2.84,2.21,0.41,2.64,,
September,0.77,5.95,1.39,1.22,0.94,1.46,3.61,1.62,0.93,2.82,,
October,1.75,2.91,2.29,4.33,2.60,1.71,2.32,1.27,1.69,7.98,,
November,5.03,3.98,1.49,5.24,1.76,2.00,2.26,0.95,5.31,4.04,,
December,3.33,2.75,1.08,2.56,3.05,1.89,2.09,3.56,4.99,2.88,,
Total,37.90,28.95,22.12,32.56,22.81,30.49,25.53,30.37,25.45,36.84,,
Calc annual,37.90,28.95,22.12,32.56,22.81,30.49,25.53,30.37,25.45,36.84,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,,
