"EXMINSTER (TROOD HOUSE)",,,,,,,,,,,,
Grid ref,SX926886,Long,-3.521729,Lat,50.687108,,,,,,,
Station no,1768,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.52,2.92,0.41,1.99,4.85,4.31,3.44,4.25,5.13,5.15,,
February,5.41,0.60,1.50,3.17,2.32,0.16,6.13,4.21,0.33,5.33,,
March,3.44,2.54,0.61,3.32,1.73,1.43,3.70,2.25,5.53,3.06,,
April,1.91,2.85,2.94,0.03,0.75,1.06,0.11,0.34,4.17,3.09,,
May,2.96,2.89,2.65,2.60,3.91,2.02,2.39,3.46,1.23,2.09,,
June,0.73,1.26,2.00,4.33,3.24,1.53,1.48,4.31,1.50,0.73,,
July,2.26,0.96,2.12,2.29,4.56,3.21,2.78,3.07,2.27,3.40,,
August,3.49,5.09,1.73,2.21,0.68,3.29,2.17,3.23,2.41,3.66,,
September,4.07,2.87,2.59,2.58,1.43,6.21,1.98,3.78,0.42,8.16,,
October,1.43,5.49,3.69,2.37,1.76,2.38,1.74,3.49,3.65,11.86,,
November,6.17,3.57,2.19,7.30,4.18,1.87,2.88,3.30,9.30,4.30,,
December,3.17,3.03,0.75,3.62,4.33,6.37,3.19,4.93,8.59,3.49,,
Total,38.56,34.07,23.18,35.81,33.74,32.84,31.99,40.62,44.53,54.32,,
Calc annual,38.56,34.07,23.18,35.81,33.74,33.84,31.99,40.62,44.53,54.32,,
Difference,0.00,0.00,-0.00,0.00,0.00,-1.00,-0.00,0.00,0.00,0.00,,
