"BRAEMAR (DERRY LODGE)",,,,,,,,,,,,
Grid ref,NO036932,Long,-3.589396,Lat,57.019818,,,,,,,
Station no,5629/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.33,4.43,4.02,6.10,4.55,,
February,,,,,,2.70,3.93,3.61,0.87,4.59,,
March,,,,,,2.80,2.58,3.20,2.18,1.50,,
April,,,,,,1.86,0.96,2.52,2.78,4.58,,
May,,,,,,1.58,1.82,3.62,2.74,1.45,,
June,,,,,,3.21,,3.01,2.35,2.06,,
July,,,,,,3.99,,4.53,2.24,2.65,,
August,,,,,,7.20,,3.48,1.71,3.93,,
September,,,,,,4.37,,3.36,0.80,2.48,,
October,,,,,,4.58,3.00,3.39,6.76,6.20,,
November,,,,,,2.26,1.97,1.08,5.59,3.85,,
December,,,,,,7.11,4.66,6.10,6.23,3.47,,
Total,,,,,,44.99,,41.92,40.35,41.31,,
Calc annual,0.00,0.00,0.00,0.00,0.00,44.99,23.35,41.92,40.35,41.31,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,NaN,0.00,-0.00,0.00,,
