"NEAR BROADSLATE",,,,,,,,,,,,
Grid ref,SE055027,Long,-1.918516,Lat,53.520943,,,,,,,
Station no,2758/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.85,7.00,3.84,6.23,4.45,7.82,5.85,5.29,5.52,10.00,,
February,6.40,3.24,4.00,4.85,3.17,2.29,5.36,8.92,1.24,2.72,,
March,8.90,4.31,3.63,3.62,3.43,2.22,6.41,3.06,3.00,1.70,,
April,3.95,5.12,4.75,1.70,4.18,3.50,1.02,2.63,4.75,3.44,,
May,3.65,3.43,3.39,4.93,5.68,2.45,1.91,5.62,2.65,2.91,,
June,2.25,4.20,6.03,5.75,5.20,4.84,3.16,7.24,3.25,2.44,,
July,5.90,4.49,11.31,12.01,2.02,9.69,8.06,6.62,5.06,11.65,,
August,8.95,4.84,7.88,10.15,1.00,15.40,9.36,7.21,0.55,6.15,,
September,5.10,6.39,4.77,8.35,3.75,6.22,9.21,6.50,0.55,4.45,,
October,1.50,6.69,3.00,12.80,2.95,4.78,8.21,7.45,5.39,5.85,,
November,11.85,4.90,6.16,8.09,2.90,3.02,3.71,2.50,6.22,8.00,,
December,9.80,5.76,3.36,9.57,8.22,7.23,6.86,5.85,7.80,5.75,,
Total,76.10,60.37,62.12,88.05,46.95,69.46,69.12,68.89,45.98,65.06,,
Calc annual,76.10,60.37,62.12,88.05,46.95,69.46,69.12,68.89,45.98,65.06,,
Difference,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
