"LARNE (SALLAGH SPRINGS)",,,,,,,,,,,,
Grid ref,ID348049,Long,-5.900541,Lat,54.873817,,,,,,,
Station no,6228,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.51,4.21,1.52,5.07,5.24,5.05,5.58,5.87,3.47,,,
February,3.26,0.80,1.47,5.41,6.05,1.85,4.50,5.26,1.61,,,
March,3.70,2.18,0.60,4.73,1.77,2.06,4.23,3.04,3.25,,,
April,2.31,1.96,2.36,1.33,3.69,1.47,1.86,2.61,3.67,,,
May,2.79,2.38,2.92,4.05,3.54,1.80,3.36,3.53,1.84,,,
June,4.43,2.81,3.13,3.29,5.13,3.72,3.34,6.08,2.43,,,
July,2.55,2.30,6.34,4.26,0.19,4.62,5.27,6.00,4.66,,,
August,5.93,7.14,4.15,3.10,1.77,8.67,5.01,5.16,1.61,,,
September,3.41,3.54,5.12,4.36,5.86,4.81,8.15,5.44,1.84,,,
October,0.85,5.27,2.96,7.42,4.86,3.68,5.40,3.83,,,,
November,8.79,4.22,5.00,6.51,3.45,2.86,2.52,1.94,,,,
December,6.64,4.41,4.15,6.88,7.40,6.57,7.07,6.72,,,,
Total,48.17,41.22,39.72,56.41,48.95,47.16,56.29,55.48,,,,
Calc annual,48.17,41.22,39.72,56.41,48.95,47.16,56.29,55.48,24.38,0.00,,
Difference,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,NaN,NaN,,
