"LOCH TUMMEL (OVER BOHESPIC)",,,,,,,,,,,,
Grid ref,NN740608,Long,-4.060539,Lat,56.721810,,,,,,,
Station no,5561/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.60,3.52,2.34,2.44,6.68,3.25,1.45,,,
February,,,1.06,2.61,2.48,2.02,3.57,1.69,0.86,,,
March,,,1.05,2.28,0.90,3.31,3.12,1.08,2.59,,,
April,,,2.15,1.00,1.07,1.31,0.86,1.02,2.79,,,
May,,,3.20,4.23,2.61,2.28,1.72,3.00,1.10,,,
June,,,1.31,4.10,0.94,2.48,1.26,2.72,2.21,,,
July,,1.47,3.90,0.99,0.50,4.00,3.75,3.96,3.13,,,
August,,2.72,1.65,3.22,0.85,4.51,4.05,4.39,1.77,,,
September,,2.01,3.65,4.13,2.43,5.69,1.95,5.17,0.96,,,
October,,5.22,2.78,8.21,3.14,2.50,2.92,3.26,6.38,,,
November,,1.91,5.42,6.01,1.63,2.22,0.89,0.72,4.33,,,
December,,2.89,6.07,7.09,7.73,5.20,4.85,4.88,5.95,,,
Total,,,33.84,47.39,26.62,37.96,35.62,35.14,33.52,,,
Calc annual,0.00,16.22,33.84,47.39,26.62,37.96,35.62,35.14,33.52,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,,
