"IPSWICH (PARK ROAD RESERVOIR)",,,,,,,,,,,,
Grid ref,TM163457,Long,1.154364,Lat,52.067413,,,,,,,
Station no,1343/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.92,2.48,0.85,1.43,2.26,3.87,1.04,2.32,1.83,2.75,,
February,3.85,0.89,1.01,2.16,2.32,0.68,2.27,2.63,0.15,1.45,,
March,3.51,3.83,0.39,2.54,1.45,0.81,1.45,0.94,1.42,1.57,,
April,3.07,2.22,1.29,0.22,0.14,0.92,0.27,0.89,1.31,0.55,,
May,2.35,0.99,1.83,1.06,2.74,0.88,2.14,2.71,0.26,0.63,,
June,0.88,1.43,3.11,2.05,4.36,1.76,2.19,4.19,1.38,3.28,,
July,2.46,0.84,2.25,2.94,0.15,2.41,2.64,2.09,1.46,2.82,,
August,3.24,2.57,1.71,3.42,3.80,3.39,3.84,3.46,1.01,2.66,,
September,2.29,2.81,1.48,1.14,1.14,2.59,2.63,3.60,0.02,3.51,,
October,0.53,1.90,1.84,1.41,3.83,1.45,1.63,2.35,1.74,5.86,,
November,4.16,4.47,1.44,4.32,0.73,0.77,2.89,0.95,2.22,2.83,,
December,1.78,2.45,0.71,2.13,1.45,1.65,1.75,3.29,3.09,3.20,,
Total,30.04,26.88,17.91,24.82,24.37,21.18,24.74,29.42,15.89,31.11,,
Calc annual,30.04,26.88,17.91,24.82,24.37,21.18,24.74,29.42,15.89,31.11,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
