"MACCLESFIELD (WEST PARK)",,,,,,,,,,,,
Grid ref,SJ911741,Long,-2.134888,Lat,53.263821,,,,,,,
Station no,2726,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.23,4.04,1.75,2.96,2.31,4.94,1.66,3.50,2.69,4.86,,
February,3.49,2.08,1.64,3.49,2.61,1.10,2.12,4.97,0.59,2.07,,
March,4.77,2.51,2.35,2.53,2.40,1.52,3.28,1.55,1.79,0.97,,
April,2.65,3.73,2.61,0.85,2.15,1.94,0.47,1.27,2.68,1.59,,
May,1.76,2.10,1.73,3.66,3.18,1.12,2.42,2.85,0.99,1.89,,
June,1.46,2.68,2.46,3.03,2.50,2.80,1.71,6.50,1.64,1.68,,
July,3.24,3.09,4.60,4.91,0.84,4.86,5.30,4.05,3.01,5.20,,
August,5.36,1.81,3.48,4.87,1.10,9.63,3.96,3.84,0.51,4.34,,
September,2.86,3.77,2.83,4.15,2.46,2.53,6.19,4.63,0.16,3.12,,
October,0.96,3.53,1.90,6.00,2.43,2.67,3.54,3.54,3.46,3.84,,
November,7.96,2.28,2.66,5.32,1.87,1.55,1.63,1.60,4.15,4.80,,
December,4.85,3.54,1.72,5.27,3.65,3.67,3.75,3.37,5.61,3.66,,
Total,42.59,35.16,29.73,47.04,27.50,38.33,36.03,41.67,27.28,38.02,,
Calc annual,42.59,35.16,29.73,47.04,27.50,38.33,36.03,41.67,27.28,38.02,,
Difference,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
