"LAKE EIGIAU (DAM SITE)",,,,,,,,,,,,
Grid ref,SH724647,Long,-3.910087,Lat,53.164082,,,,,,,
Station no,4350,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.51,9.75,2.57,6.71,6.50,6.20,12.63,10.93,9.55,13.13,,
February,7.81,3.31,2.66,6.66,3.99,1.01,10.37,16.22,2.15,11.94,,
March,10.13,3.85,3.61,6.92,3.44,4.73,7.04,2.34,5.17,2.75,,
April,5.69,4.61,6.75,1.90,3.78,2.87,0.97,2.30,8.96,6.20,,
May,3.69,3.22,4.49,6.64,9.43,2.25,4.86,9.90,1.86,2.97,,
June,3.28,5.42,3.09,4.85,6.36,4.63,1.61,4.50,2.81,4.47,,
July,3.75,2.95,6.24,8.74,1.41,11.06,10.94,7.41,4.52,8.48,,
August,9.13,6.25,6.11,8.48,1.48,12.36,11.93,5.22,1.44,5.83,,
September,10.12,9.81,8.47,9.79,4.15,5.86,13.25,10.82,0.98,6.35,,
October,2.12,12.54,3.76,16.35,6.22,6.48,10.40,6.71,11.47,6.45,,
November,14.65,5.98,10.52,16.86,4.07,4.22,4.73,3.67,13.86,20.89,,
December,15.47,8.25,3.67,7.93,8.44,9.14,7.25,5.65,18.46,8.86,,
Total,92.35,75.94,61.94,101.83,59.27,70.81,95.98,85.67,81.23,98.32,,
Calc annual,92.35,75.94,61.94,101.83,59.27,70.81,95.98,85.67,81.23,98.32,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
