"ISLAY (LOCHINDAAL)",,,,,,,,,,,,
Grid ref,NR257588,Long,-6.372327,Lat,55.744626,,,,,,,
Station no,5441,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.29,7.18,3.20,6.31,3.92,5.67,8.64,6.40,2.34,4.36,,
February,3.97,2.69,3.07,5.32,3.38,2.42,4.04,4.87,1.48,4.63,,
March,4.27,3.12,1.69,3.79,0.81,2.25,4.91,1.61,3.49,2.19,,
April,3.43,1.95,2.42,1.85,3.39,2.69,2.37,2.10,3.52,3.80,,
May,0.97,1.46,3.35,3.23,2.97,3.11,2.12,3.10,1.57,2.70,,
June,1.69,4.20,2.43,3.08,3.69,3.63,2.84,3.10,2.57,1.97,,
July,3.81,3.03,4.15,5.23,0.20,4.42,5.27,3.46,6.35,4.25,,
August,3.52,5.06,4.27,4.82,1.24,4.66,3.89,3.95,1.53,3.63,,
September,3.33,3.79,7.16,8.51,7.21,4.98,5.07,3.95,1.86,3.35,,
October,2.62,4.32,4.41,8.30,4.75,4.06,5.88,4.86,6.25,4.85,,
November,8.45,2.48,8.41,9.97,3.40,4.69,2.42,3.32,6.80,5.97,,
December,7.87,5.75,4.82,6.66,6.97,7.13,4.81,6.19,7.89,8.32,,
Total,49.22,45.03,49.38,67.07,41.93,49.71,52.26,46.91,45.65,50.02,,
Calc annual,49.22,45.03,49.38,67.07,41.93,49.71,52.26,46.91,45.65,50.02,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
