"CRAWFORD (CAMPS RES)",,,,,,,,,,,,
Grid ref,NS997226,Long,-3.588817,Lat,55.486877,,,,,,,
Station no,5163,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.31,4.93,1.61,4.52,3.16,2.65,6.09,4.14,2.22,3.76,,
February,3.49,1.27,1.53,2.45,1.04,1.37,3.30,3.29,1.42,4.85,,
March,2.52,2.12,0.76,2.85,1.64,2.58,3.62,1.44,3.36,2.09,,
April,3.59,2.36,3.23,1.00,1.71,1.20,1.98,1.70,3.84,4.42,,
May,2.60,2.32,2.46,6.09,3.01,2.18,3.19,3.09,1.30,2.68,,
June,2.13,2.56,2.17,3.50,1.72,3.76,1.64,3.12,3.26,2.49,,
July,2.21,2.77,6.30,3.86,3.55,4.68,3.55,6.75,5.01,3.59,,
August,6.34,3.34,3.86,5.10,1.86,8.05,4.69,4.87,1.12,3.93,,
September,4.00,2.74,5.03,6.57,4.50,4.46,3.24,5.09,1.31,3.00,,
October,0.76,4.96,3.97,10.04,3.67,3.63,4.22,3.45,6.54,2.89,,
November,7.48,3.75,5.84,8.59,2.28,1.82,2.23,1.37,8.70,8.08,,
December,6.91,4.11,4.58,5.37,4.94,5.72,4.50,4.72,7.10,4.62,,
Total,46.34,37.23,41.34,59.94,33.08,42.10,42.25,43.03,45.18,46.40,,
Calc annual,46.34,37.23,41.34,59.94,33.08,42.10,42.25,43.03,45.18,46.40,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
