"ARMADALE (STONERIGG FILTERS)",,,,,,,,,,,,
Grid ref,NS933676,Long,-3.707578,Lat,55.889674,,,,,,,
Station no,5152/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.11,2.84,1.33,2.31,2.17,1.63,5.42,2.89,1.22,3.21,,
February,2.18,0.90,1.46,1.84,1.56,1.37,2.80,1.94,1.45,2.85,,
March,3.22,1.64,0.80,1.63,1.17,2.18,2.79,1.42,1.53,1.82,,
April,2.90,1.68,2.39,1.21,0.46,0.55,2.09,1.37,2.51,2.51,,
May,2.35,1.20,2.18,3.40,2.13,1.99,1.86,3.69,1.01,1.78,,
June,3.01,2.78,1.85,1.95,1.23,3.47,2.03,3.22,2.48,1.07,,
July,5.17,2.53,5.18,2.03,0.93,4.61,3.82,6.78,4.55,2.60,,
August,4.28,4.73,2.47,5.27,0.94,6.10,4.22,4.54,0.69,2.78,,
September,2.00,2.50,2.79,2.84,1.37,3.93,1.72,3.28,0.93,2.41,,
October,0.71,2.64,1.84,6.03,1.54,2.53,3.77,2.39,3.68,2.73,,
November,5.02,2.30,4.54,3.80,1.22,1.15,1.99,1.47,6.24,3.92,,
December,5.40,3.00,3.52,2.73,4.87,4.85,4.05,4.87,4.51,4.63,,
Total,40.35,28.74,30.35,35.04,19.59,34.36,36.56,37.86,30.80,32.31,,
Calc annual,40.35,28.74,30.35,35.04,19.59,34.36,36.56,37.86,30.80,32.31,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
