"READING UNIVERSITY",,,,,,,,,,,,
Grid ref,SU722729,Long,-0.962379,Lat,51.450491,,,,,,,
Station no,803,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.63,1.81,0.90,1.28,2.98,3.40,1.46,2.85,2.83,2.66,,
February,4.56,0.65,1.64,2.37,1.43,0.24,3.11,2.45,0.25,2.14,,
March,3.78,2.33,0.35,2.17,0.95,0.55,1.37,1.45,2.50,1.33,,
April,3.06,1.40,2.27,0.24,0.32,1.67,0.36,1.10,2.23,0.45,,
May,2.29,3.42,1.78,2.83,4.38,0.20,1.37,1.85,0.28,1.68,,
June,2.29,1.34,1.52,3.82,2.17,2.07,1.99,3.69,1.50,1.10,,
July,0.84,0.40,3.42,2.40,0.17,2.03,3.90,2.14,2.12,2.75,,
August,4.05,2.36,1.90,2.93,0.44,4.57,2.08,3.51,1.16,4.05,,
September,2.64,2.58,2.15,1.51,1.80,2.80,2.84,3.90,0.03,3.27,,
October,0.67,3.69,3.36,1.89,2.88,1.46,2.11,2.29,2.62,6.87,,
November,6.64,2.96,0.93,4.82,1.85,0.62,2.37,2.61,2.25,3.61,,
December,1.85,2.50,0.56,2.69,2.37,3.57,2.27,2.99,4.08,3.20,,
Total,35.30,25.44,20.78,28.95,21.74,23.18,25.23,30.83,21.85,33.11,,
Calc annual,35.30,25.44,20.78,28.95,21.74,23.18,25.23,30.83,21.85,33.11,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
