"COLYTON (COLYFORD)",,,,,,,,,,,,
Grid ref,SY244923,Long,-3.072425,Lat,50.725383,,,,,,,
Station no,1813/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.45,3.13,0.94,1.96,4.26,4.27,3.41,3.73,6.11,4.07,,
February,5.65,0.81,2.83,3.94,2.95,0.04,4.78,3.59,0.50,4.44,,
March,4.99,3.67,0.74,4.48,-999.00,0.75,3.54,1.99,3.70,2.85,,
April,1.93,3.33,3.22,0.33,1.44,1.10,0.14,0.78,2.77,3.03,,
May,2.74,3.22,3.34,1.99,4.26,0.90,2.37,2.87,1.28,2.34,,
June,1.31,2.54,2.48,2.68,3.88,1.98,1.79,3.05,1.08,1.50,,
July,2.28,1.96,3.54,2.79,3.32,2.02,3.20,2.98,1.63,4.27,,
August,4.93,3.46,2.71,3.92,0.34,3.36,2.50,4.30,1.21,4.55,,
September,4.35,3.52,2.95,3.48,1.20,6.26,4.03,5.70,0.12,8.59,,
October,1.00,5.46,6.00,2.96,1.97,2.04,2.81,3.09,3.48,10.96,,
November,6.98,4.88,2.00,6.72,4.23,0.88,2.71,3.87,6.78,5.00,,
December,3.21,3.75,0.91,3.26,5.22,5.49,3.56,5.89,7.54,4.37,,
Total,42.82,39.73,31.66,38.51,34.54,29.09,34.84,41.84,36.20,55.97,,
Calc annual,42.82,39.73,31.66,38.51,33.07,29.09,34.84,41.84,36.20,55.97,,
Difference,0.00,-0.00,0.00,-0.00,1.47,0.00,0.00,0.00,0.00,0.00,,
