"CARRADALE (TORRISDALE CASTLE)",,,,,,,,,,,,
Grid ref,NR793361,Long,-5.502027,Lat,55.568448,,,,,,,
Station no,5419,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.35,9.74,4.26,6.93,4.50,6.84,7.59,8.26,,,,
February,4.87,3.19,3.31,6.32,5.90,1.73,4.01,4.98,,,,
March,5.50,5.19,1.99,6.14,1.95,2.91,7.38,1.79,,,,
April,4.14,2.86,2.89,2.99,4.96,1.74,2.99,2.80,,,,
May,1.76,1.65,2.83,4.55,6.57,3.73,2.86,3.16,,,,
June,3.29,4.64,1.92,6.36,5.88,3.94,3.68,3.61,,,,
July,4.91,5.61,7.55,5.95,1.27,6.74,5.01,4.93,,,,
August,5.87,7.32,4.91,5.26,1.39,7.62,5.86,5.55,,,,
September,4.87,5.94,8.60,9.68,6.12,4.19,5.93,5.08,,,,
October,2.58,6.01,4.45,10.97,5.66,3.25,7.65,,,,,
November,10.46,3.92,10.24,11.69,3.12,4.72,3.78,,,,,
December,11.72,9.46,5.95,12.02,9.80,7.90,7.21,,,,,
Total,68.32,65.53,58.90,88.86,57.12,55.31,63.95,,,,,
Calc annual,68.32,65.53,58.90,88.86,57.12,55.31,63.95,40.16,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
