"OTTERBOURNE (KINGFISHER LODGE)",,,,,,,,,,,,
Grid ref,SU468225,Long,-1.334435,Lat,50.999995,,,,,,,
Station no,705/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.40,2.53,1.18,1.68,3.29,4.66,2.60,4.27,3.45,4.26,,
February,6.39,0.62,1.56,3.33,1.65,0.18,4.02,2.55,0.15,2.85,,
March,4.66,2.86,0.75,2.92,1.28,0.68,2.25,1.72,3.71,2.15,,
April,3.00,1.86,2.42,0.24,0.54,1.83,0.15,0.72,2.81,1.27,,
May,2.65,3.01,2.75,1.72,4.68,0.27,1.39,2.11,0.53,0.91,,
June,1.34,1.26,2.17,2.96,2.77,1.86,1.60,3.55,0.86,2.91,,
July,2.61,0.26,3.44,3.16,1.18,3.10,4.53,1.63,1.96,4.14,,
August,5.16,3.02,3.04,4.54,0.48,4.98,3.25,3.79,2.50,4.78,,
September,3.89,3.07,3.64,3.73,1.65,4.46,3.14,5.38,0.06,5.15,,
October,1.05,4.87,4.78,3.21,4.47,3.04,2.41,3.45,2.91,7.98,,
November,9.11,3.63,1.48,5.30,2.64,0.90,2.94,2.96,3.75,5.06,,
December,2.78,2.76,1.02,3.01,4.11,5.62,2.53,4.45,7.49,4.36,,
Total,46.04,29.75,28.23,35.80,28.74,31.58,30.81,36.58,30.18,45.82,,
Calc annual,46.04,29.75,28.23,35.80,28.74,31.58,30.81,36.58,30.18,45.82,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
