"LOCH TUMMEL (POWER HOUSE)",,,,,,,,,,,,
Grid ref,NN762591,Long,-4.023795,Lat,56.707136,,,,,,,
Station no,5561/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.36,3.35,1.48,4.20,2.36,3.25,6.39,4.14,2.31,,,
February,3.34,1.03,1.26,3.85,2.70,2.06,4.36,2.86,0.88,,,
March,1.93,2.78,1.27,2.79,0.97,4.33,3.79,1.27,3.25,,,
April,3.25,1.89,2.16,1.26,1.02,1.63,1.19,1.09,3.59,,,
May,1.48,4.01,3.46,4.31,2.42,2.28,1.54,2.79,1.31,,,
June,1.69,2.31,2.19,1.75,1.29,2.86,1.34,3.08,,,,
July,2.18,1.64,3.46,1.47,0.84,3.80,5.22,4.43,,,,
August,4.37,3.08,1.62,3.11,1.15,4.44,4.56,4.46,,,,
September,2.76,1.91,3.67,4.04,2.27,6.01,2.43,5.22,,,,
October,1.07,5.11,2.73,6.53,2.89,2.80,2.78,3.49,,,,
November,11.52,1.90,5.81,8.60,2.10,2.32,0.81,0.96,,,,
December,5.57,3.51,4.93,8.49,8.97,7.73,5.61,5.50,,,,
Total,42.52,32.52,34.04,50.40,28.98,43.51,40.02,39.29,,,,
Calc annual,42.52,32.52,34.04,50.40,28.98,43.51,40.02,39.29,11.34,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,,
