"STRUBBY AIRFIELD",,,,,,,,,,,,
Grid ref,TF445806,Long,0.166984,Lat,53.302644,,,,,,,
Station no,2565/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.04,3.34,4.92,,
February,,,,,,,,2.66,0.25,3.11,,
March,,,,,,,,2.43,1.78,1.31,,
April,,,,,,,,1.10,1.66,0.82,,
May,,,,,,,,3.35,0.19,0.66,,
June,,,,,,,,2.92,0.78,0.87,,
July,,,,,,,,5.47,1.71,2.69,,
August,,,,,,,,1.74,0.72,,,
September,,,,,,,,1.84,0.61,,,
October,,,,,,,,1.33,1.80,,,
November,,,,,,,,0.73,2.52,3.91,,
December,,,,,,,,3.04,4.65,3.95,,
Total,,,,,,,,28.65,20.01,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.65,20.01,22.24,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,,
