"REDEWATER (GAME PARK)",,,,,,,,,,,,
Grid ref,NT716046,Long,-2.449238,Lat,55.334621,,,,,,,
Station no,3581/1/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.29,5.34,2.51,4.98,5.42,3.97,6.86,5.15,3.73,7.82,,
February,4.49,1.03,3.32,4.26,3.70,3.97,5.41,5.52,1.45,6.75,,
March,3.23,2.81,0.74,5.65,2.45,1.33,2.90,2.32,2.69,2.79,,
April,4.04,3.86,4.67,0.80,1.23,1.06,0.82,2.19,3.89,4.03,,
May,2.99,2.51,2.12,7.52,3.95,1.79,2.72,4.83,0.94,2.43,,
June,1.32,2.50,4.13,2.43,1.34,3.67,2.41,3.11,3.58,2.44,,
July,3.23,1.52,5.30,4.45,2.56,4.41,3.79,6.04,3.04,3.74,,
August,4.07,5.93,3.98,7.81,1.14,8.43,6.68,3.46,1.12,4.74,,
September,4.42,4.19,5.16,5.59,2.83,3.23,3.27,4.07,1.04,3.00,,
October,1.16,6.06,2.63,8.75,3.81,3.14,5.03,3.21,3.95,6.23,,
November,8.36,5.19,5.48,8.17,2.35,1.90,1.75,1.00,7.53,6.70,,
December,7.25,6.44,2.94,6.00,8.33,7.54,3.82,5.32,8.59,4.87,,
Total,49.85,47.38,42.98,66.41,39.11,44.44,45.46,46.22,41.55,55.54,,
Calc annual,49.85,47.38,42.98,66.41,39.11,44.44,45.46,46.22,41.55,55.54,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
