"BELFAST (KINGSWAY GARDENS)",,,,,,,,,,,,
Grid ref,IJ385735,Long,-5.857867,Lat,54.590908,,,,,,,
Station no,6205/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.43,3.84,1.10,2.74,,,,,,,,
February,2.91,0.47,1.15,3.63,,,,,,,,
March,2.70,1.29,0.44,3.49,,,,,,,,
April,1.58,1.69,1.62,0.62,,,,,,,,
May,3.77,1.36,2.15,4.07,,,,,,,,
June,1.80,2.32,2.10,2.66,,,,,,,,
July,2.82,1.27,5.66,3.65,,,,,,,,
August,3.64,5.79,2.68,3.39,,,,,,,,
September,2.88,1.41,2.88,4.50,,,,,,,,
October,0.48,4.30,2.70,5.70,,,,,,,,
November,7.21,3.12,3.34,6.71,,,,,,,,
December,4.72,4.06,3.21,5.00,,,,,,,,
Total,37.94,30.92,29.03,46.16,,,,,,,,
Calc annual,37.94,30.92,29.03,46.16,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
