"DARLINGTON (FIGHTING COCKS RES.)",,,,,,,,,,,,
Grid ref,NZ342138,Long,-1.473197,Lat,54.518349,,,,,,,
Station no,3504,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.68,1.78,0.52,1.68,1.75,2.52,1.55,1.46,1.92,3.74,,
February,1.95,0.33,1.94,1.70,1.31,1.82,1.71,3.06,0.67,1.73,,
March,2.98,1.16,0.09,1.43,1.30,0.51,0.80,1.33,0.53,1.88,,
April,1.30,1.75,2.24,0.27,0.99,0.66,0.20,1.32,1.34,0.59,,
May,2.68,1.20,1.71,2.58,1.73,0.29,1.86,2.28,0.42,1.21,,
June,0.74,0.94,2.12,2.23,2.18,2.59,2.65,2.71,2.00,0.38,,
July,2.34,1.35,2.82,1.60,0.93,3.35,3.25,2.49,1.13,4.23,,
August,5.88,2.23,3.26,4.42,0.67,6.56,2.87,3.58,0.34,2.25,,
September,1.03,3.50,1.37,1.67,0.95,2.17,3.24,1.58,0.89,2.17,,
October,1.27,2.19,1.61,3.72,1.55,1.23,1.54,1.29,0.92,4.37,,
November,4.71,2.67,1.35,3.66,2.32,0.63,1.22,0.58,2.40,2.65,,
December,2.90,1.73,0.79,1.47,2.51,2.07,1.45,2.31,1.62,2.05,,
Total,29.46,20.83,19.82,26.43,18.19,24.40,22.34,23.99,14.18,27.25,,
Calc annual,29.46,20.83,19.82,26.43,18.19,24.40,22.34,23.99,14.18,27.25,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
