"BROADSTAIRS (PIERREMONT PARK)",,,,,,,,,,,,
Grid ref,TR394677,Long,1.437217,Lat,51.357894,,,,,,,
Station no,306,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.24,1.87,,,,,,,,,,
February,4.40,1.57,,,,,,,,,,
March,2.78,2.68,,,,,,,,,,
April,1.61,0.61,,,,,,,,,,
May,1.71,1.09,,,,,,,,,,
June,1.79,2.12,,,,,,,,,,
July,1.25,,,,,,,,,,,
August,3.35,,,,,,,,,,,
September,4.11,,,,,,,,,,,
October,1.58,,,,,,,,,,,
November,3.08,,,,,,,,,,,
December,2.06,,,,,,,,,,,
Total,29.96,,,,,,,,,,,
Calc annual,29.96,9.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
