"DRUMMUIR CASTLE",,,,,,,,,,,,
Grid ref,NJ372441,Long,-3.049027,Lat,57.482772,,,,,,,
Station no,5663,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.68,3.23,2.28,2.17,1.50,3.83,2.11,3.82,5.44,5.17,,
February,4.12,2.33,2.18,1.26,4.97,3.27,2.59,5.27,0.42,4.60,,
March,4.04,2.43,0.51,1.76,2.26,1.27,2.69,2.44,0.94,1.55,,
April,4.87,2.24,2.75,1.51,1.31,1.85,1.16,2.09,2.34,2.26,,
May,1.49,1.72,2.15,5.61,4.29,0.70,2.16,3.07,1.15,0.67,,
June,3.23,2.53,4.63,4.34,1.59,2.96,3.86,3.01,1.44,4.39,,
July,3.57,2.84,5.07,4.08,0.87,5.69,6.50,8.14,2.92,3.49,,
August,4.04,4.45,1.82,3.60,1.81,5.52,7.11,4.10,1.24,7.34,,
September,0.90,5.43,2.34,2.45,2.46,2.97,2.39,2.08,0.78,2.69,,
October,1.22,3.26,0.94,5.54,7.83,4.03,1.77,2.32,4.47,7.64,,
November,6.39,5.21,2.01,4.03,1.28,2.49,3.90,1.45,6.00,3.50,,
December,1.93,4.83,2.74,4.79,5.08,2.93,4.18,3.22,3.75,1.59,,
Total,38.48,40.50,29.42,41.14,35.25,37.51,40.42,41.01,30.89,44.89,,
Calc annual,38.48,40.50,29.42,41.14,35.25,37.51,40.42,41.01,30.89,44.89,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
