"MARDALE (GUERNESS)",,,,,,,,,,,,
Grid ref,NY483135,Long,-2.800086,Lat,54.514151,,,,,,,
Station no,3671/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.26,7.11,3.23,7.09,7.96,6.07,15.33,10.34,6.34,11.52,,
February,8.41,1.25,2.70,6.73,2.79,1.03,8.84,8.29,1.92,13.40,,
March,4.16,5.14,1.53,7.38,2.57,2.95,7.01,2.16,7.52,2.14,,
April,6.26,6.09,5.88,1.04,2.40,1.45,1.94,2.49,8.47,8.00,,
May,2.06,3.70,4.14,5.84,-999.00,3.92,4.60,7.64,2.38,2.92,,
June,1.99,4.42,4.01,6.92,4.94,4.42,1.85,6.24,5.81,4.93,,
July,4.34,2.75,8.97,5.25,4.05,7.47,4.72,6.33,5.94,7.49,,
August,8.46,8.19,6.60,7.80,3.22,10.81,8.59,5.43,1.29,4.84,,
September,14.02,7.10,11.17,15.45,4.66,6.14,7.96,9.84,1.45,4.27,,
October,1.26,10.69,5.40,22.02,6.40,7.14,10.76,8.80,10.48,6.99,,
November,18.66,4.61,12.80,17.97,4.81,3.20,3.40,1.45,12.79,20.39,,
December,16.82,7.53,5.12,11.25,11.77,11.89,10.05,8.39,16.36,10.01,,
Total,94.70,68.58,71.55,114.74,63.02,66.49,85.05,77.40,80.75,96.90,,
Calc annual,94.70,68.58,71.55,114.74,55.57,66.49,85.05,77.40,80.75,96.90,,
Difference,-0.00,0.00,-0.00,0.00,7.45,-0.00,0.00,0.00,0.00,0.00,,
